漢字,相關字詞
㔂,甘蔗
㤉,潲
㧣,風
㨂,甲
㨻,魚
㴘,麵
㴙,㴙落
㴙,㴙滴
㴙,㴙唸
㾀,勢
㾀,勢命
䆀,才
䆀,手
䆀,手仔拐
䆀,味
䆀,指
䆀,猴
䆀,空
䆀,豆仔
䆀,氣
䆀,豆
䆀,火
䖙,椅
䘥,仔
䢢,拄䢢
一,刀兩斷
一,下
一,下仔
一,大堆
一,工
一,弓
一,切
一,心一意
一,手
一,日
一,日到暗
一,月日
一,片
一,世人
一,半
一,半日仔
一,半个仔
一,四界
一,旦
一,生
一,甲子
一,目了然
一,目𥍉仔
一,再
一,同
一,向
一,如
一,百空一
一,行
一,身
一,來
一,夜情
一,定
一,帖藥
一,帖藥仔
一,服藥
一,枇
一,直
一,律
一,流
一,致
一,面
一,套衫
一,家人
一,家伙仔
一,屑仔
一,旁
一,時
一,般
一,般人
一,陣
一,隻牛
一,隻牛仔
一,垺屎
一,帶
一,掠
一,望無際
一,粒一
一,貫
一,連串
一,逝
一,桮
一,番
一,睏仔
一,絲
一,開始
一,概
一,萬
一,路
一,寡
一,寡仔
一,對時
一,網打盡
一,領衫
一,箍
一,箍銀
一,模一樣
一,篙
一,霎仔久
一,舉
一,點
一,點仔
一,軀衫
一,雙
一,礐屎
一,櫓
一,瓣柑
一,瓣柑仔
一,邊
一,觸久仔
一,欉樹
一,欉樹仔
一,體
一,口灶
一,大拖
一,疕仔
一,必一中
一,時仔
一,空一
一,晡
一,大片
一,個外月
一,個月
一,箍人
一,戶
一,目𥍉
一,齊
一,絲仔
一,心
一,月外日
丁,蘭尺
七,夕
七,孔
七,字仔
七,早八早
七,老八老
七,股
七,股鄉
七,股寮
七,星
七,星山
七,美鄉
七,娘媽
七,娘媽生
七,堵
七,堵區
七,張
七,爺
七,層塔
七,月半
七,晏八晏
七,股區
七,美
七,扣八除
七,竅
七,洋八洋
丈,人
丈,人公
丈,人爸
丈,人媽
丈,公
丈,夫
丈,姆
丈,姆婆
三,七仔
三,八
三,八氣
三,叉河
三,山國王
三,不五時
三,太子
三,心兩意
三,文魚
三,日節
三,月節
三,民
三,民區
三,民鄉
三,合院
三,地門鄉
三,多商圈
三,更
三,更半暝
三,角
三,角形
三,角店
三,角湧
三,角窗
三,角褲
三,姑
三,肢手
三,芝鄉
三,長兩短
三,度空間
三,思
三,星鄉
三,牲
三,界公
三,界娘仔
三,軍
三,重
三,重市
三,重埔
三,峽
三,峽河
三,峽鎮
三,除四扣
三,國
三,教
三,絃
三,通
三,貂嶺
三,溫暖
三,義
三,義鄉
三,跤馬
三,跤貓
三,頓
三,層
三,層仔
三,層肉
三,線路
三,輪仔車
三,輪車
三,讀
三,灣鄉
三,角六肩
三,重區
三,峽區
三,芝區
三,芝
三,星
三,灣
三,地門
三,角圓環
三,民高中
三,和國中
三,重國小
三,山國王廟
三,坑
三,姓橋
三,塊厝
三,八雨
三,層仔肉
三,角肩
三,角間
三,六仔
上,下
上,下班
上,久
上,山
上,山頭
上,元
上,元暝
上,午
上,升
上,天
上,尺工
上,手
上,水
上,加
上,北
上,台
上,市
上,目
上,卌袂攝
上,任
上,好
上,床
上,車
上,坪溪
上,官
上,岸
上,昇
上,門
上,青苔
上,前
上,帝
上,帝公
上,述
上,員
上,師
上,校
上,桌
上,海
上,班
上,將
上,崎
上,場
上,游
上,童
上,等
上,訴
上,殕
上,路
上,墓
上,緊
上,網
上,臺
上,蓋
上,課
上,學
上,頭仔
上,濟
上,聲
上,櫃
上,尾
上,教
上,無
上,班日
上,班時間
上,蒼
上,落
上,慢
上,起碼
上,色
上,少
上,頭
下,山
下,元
下,勻
下,午
下,手
下,斗
下,水
下,水湯
下,水道
下,令
下,半
下,半年
下,半暝
下,司
下,台
下,本
下,早
下,早仔
下,旬
下,底
下,性命
下,昏
下,昏時
下,昏暗
下,昏暗時
下,林仔
下,垂
下,降
下,面
下,班
下,埤頭
下,晝
下,梭裙
下,陷
下,晡
下,場
下,港
下,游
下,鄉
下,痟
下,暗
下,落
下,跤
下,跤手人
下,載
下,臺
下,課
下,輩
下,頦
下,營鄉
下,擺
下,顎
下,願
下,𦜆
下,晝頓
下,營區
下,營
下,層
下,等
下,冬
下,毒
下,風
下,改
下,個月
下,頷
下,回
下,昏頓
下,跤手
下,日
下,世人
下,頭
下,沿
下,晝飯
不,一
不,了
不,三不四
不,小
不,才
不,中用
不,仁
不,公
不,分
不,及
不,止
不,止仔
不,比
不,可
不,可以
不,可思議
不,只
不,孕
不,平
不,必
不,用
不,休
不,再
不,吉
不,同
不,在
不,如
不,如意
不,安
不,成
不,死鬼
不,而過
不,但
不,免
不,利
不,妨
不,孝
不,忍
不,忍心
不,求人
不,肖
不,良
不,見
不,足
不,定
不,宜
不,幸
不,易
不,明
不,服
不,法
不,知
不,知不覺
不,便
不,俗
不,是
不,為
不,致
不,負
不,准
不,容
不,料
不,時
不,能
不,配
不,停
不,動產
不,得
不,得了
不,得已
不,得不
不,惜
不,捨
不,勝
不,堪
不,敢
不,敢當
不,然
不,等
不,答不七
不,善
不,當
不,義
不,解
不,該
不,過
不,實
不,滿
不,盡
不,管
不,管時
不,遠
不,敷
不,論
不,錯
不,斷
不,變
不,八不七
不,顛不戒
不,孝子
不,肖子
丑,仔
且,慢
世,人
世,上
世,代
世,事
世,俗
世,俗人
世,界
世,紀
世,家
世,情
世,間
世,間人
世,運
世,貿
並,且
並,非
中,人
中,山
中,山區
中,山國中
中,山堂
中,山路
中,元
中,午
中,心
中,文
中,文版
中,止
中,古
中,央
中,央山脈
中,央公園
中,央尖山
中,正
中,正區
中,正路
中,生代
中,用
中,立
中,年
中,式
中,旬
中,西
中,西區
中,里
中,和
中,和市
中,性
中,油
中,南美
中,南美洲
中,南海
中,南部
中,型
中,指
中,毒
中,洲
中,研院
中,秋
中,秋節
中,秋餅
中,美
中,計
中,音
中,風
中,原
中,埔鄉
中,校
中,級
中,脊
中,脊楹
中,區
中,國
中,堅
中,將
中,晝
中,晝時
中,晝飯
中,晝頓
中,途
中,部
中,期
中,港溪
中,等
中,華
中,華民國
中,間
中,傷
中,意
中,楹
中,寮鄉
中,樞
中,樑
中,鋒
中,學
中,選會
中,斷
中,醫
中,醫師
中,壢
中,壢市
中,藥
中,中仔
中,範
中,和區
中,壢區
中,寮
中,埔
中,正紀念堂
中,山國小
中,和新蘆線
中,範仔
中,獎
中,興
中,選
中,藥店
中,站
串,仔
串,通
串,聯
串,講
丸,仔
丹,大山
丹,田
丹,毒
丹,麥
丹,鳳
主,人
主,力
主,任
主,因
主,見
主,角
主,委
主,治
主,持
主,持人
主,流
主,要
主,食
主,宰
主,席
主,動
主,唱
主,婦
主,婚
主,將
主,張
主,教
主,菜
主,意
主,義
主,演
主,管
主,播
主,編
主,導
主,機
主,機板
主,辦
主,講
主,題
主,顧
主,權
主,體
主,觀
主,顧客
主,心定
久,久
久,仰
久,見
久,來
久,長
久,長病
久,年
久,病
久,久仔
久,年病
之,中
之,外
之,後
之,間
乒,乓泅
乖,巧
乖,乖
九,孔
九,月重陽
九,份
九,份二山
九,如鄉
九,曲堂
九,芎仔
九,芎林
九,空仔
九,塊厝
九,層塔
九,讚頭
九,如
九,芎仔柴
九,芎仔樹
九,泉
乞,的
乞,食
乞,食命
乞,食琴
乞,食頭
也,好
也,有
也,是
乳,名
乾,仔孫
乾,杯
乾,隆
乾,溪
亂,七八糟
亂,世
亂,使
亂,來
亂,象
亂,源
亂,彈
亂,碼
亂,操操
亂,講
亂,鐘仔
亂,亂
亂,使來
了,了
了,工
了,不起
了,去
了,本
了,尾仔囝
了,後
了,然
了,結
了,解
了,錢
予,人
予,人招
予,人招的
予,伊
予,招个
予,醫生看
事,主
事,件
事,先
事,志
事,宜
事,物
事,前
事,後
事,故
事,務
事,務所
事,情
事,理
事,項
事,業
事,實
事,蹟
事,事項項
二,九暝
二,二八
二,八水
二,仁溪
二,手
二,手貨
二,水
二,水鄉
二,仔
二,仔八
二,竹圍
二,步七仔
二,房
二,林鎮
二,指
二,架
二,氧化碳
二,崙仔
二,崙鄉
二,桱
二,結
二,萬坪
二,操
二,二八公園
