羅馬字拼音,詞組,說明文字
aab,尪仔面,
aab,翁仔某,
aak,頷仔頸,
aak,鴨仔囝,
aam,尪仔物,
aan,頷仔領,
aap,盒仔餅,
aaph,尪仔標,
aat,鴨仔癉,
aath,尪仔頭,
aats,尪仔書,
aatsh,尪仔冊,
ab,𧌄梅,
aba,阿母仔,
aba,泔糜仔,
aba,後尾仔,
aba,紅面鴨,
aba,鴨咪仔,
aba,𧌄梅仔,
abb,後母面,
abb,暗眠摸,
abb,暗漠漠,
abe,猶未,
abitsok,阿美族,
abk,紅目墘,
abl,紅目鰱,
abl,紅肉李,
abm,後尾門,
abo,阿母,
abor,阿母,
abt,紅尾冬,
abt,鴨母蹄,
abth,紅毛塗,
abts,阿美族,
abtsh,鴨母喙,
abu,阿母,
abua,阿母仔,
abue,猶未,
abunthoo,紅毛塗,
aea,紅嬰仔,
aga,偝囡仔,
agj,後月日,
agl,後月日,
ags,紅外線,
aha,盒仔,
aha,鴨仔,
aha,鴨雄仔,
ahakann,鴨仔囝,
ahakiann,鴨仔囝,
ahas,鴨雄仔聲 ,
ahatan,鴨仔癉,
ahau,押後,
ahbe,猶未,
ahbi,壓味,
ahbia,鴨咪仔,
ahbo,鴨母,
ahbor,鴨母,
ahbote,鴨母蹄,
ahbotshui,鴨母喙,
ahbu,鴨母,
ahbue,猶未,
ahbute,鴨母蹄,
ahbutshui,鴨母喙,
ahhian,鴨羶,
ahhing,鴨雄,
ahhinga,鴨雄仔,
ahhingasiann,鴨雄仔聲 ,
ahiann,阿兄,
ahkak,鴨角,
ahkak,鴨鵤,
ahkaka,鴨角仔,
ahkh,紅葉溪,
ahkoh,猶閣,
ahkohteh,猶閣咧,
ahmko,猶毋過,
ahnng,鴨卵,
aho,也好,
ahpa,壓霸,
ahpoa,鴨婆仔,
ahs,紅葉山,
ahsai,曷使,
ahsang,押送,
ahsi,抑是,
ahsi,猶是,
ahsiunn,鴨鯗,
aht,後現代,
ahtioh,曷著,
ahtsh,紅莧菜,
ahtsha,紅瓦厝仔,
ahtsiang,鴨掌,
ahtsiunn,鴨掌,
ahu,阿府,
ahun,押韻,
ai,阿姨,
aia,紅嬰仔,
aia,噯仔,
aian,亞鉛,
aianphiann,亞鉛鉼,
aiansuann,亞鉛線,
aigin,愛人,
aihiah,哎呀,
aihioh,哎喲,
aihoo,愛護,
aiioue,哎喲喂,
aijin,愛人,
aijina,愛人仔,
aikhau,愛哭,
aikhun,愛睏,
aikhunioha,愛睏藥仔,
aikhuntshau,愛睏草,
aikiau,愛嬌,
aikiu,哀求,
aikok,愛國,
ailiaue,隘寮下,
ailiaukhe,隘寮溪,
ailin,愛人,
ailina,愛人仔,
aimai,曖昧,
ainngina,偝囡仔,
ainnkin,偝巾,
aipekiobo,哀爸叫母,
aipekiobu,哀爸叫母,
aiph,亞鉛鉼,
ais,亞鉛線,
aisim,愛心,
aisioh,愛惜,
aisiong,哀傷,
aisui,愛媠,
aits,紅藥水,
aitsing,愛情,
aiu,哎喲喂,
aiuan,哀怨,
aja,後日仔,
aja,俺二仔,
aja,愛人仔,
aka,尪公仔,
aka,阿姑仔,
aka,暗間仔,
aka,醃瓜仔,
aka,頷頸仔,
aka,鴨角仔,
aka,𧌄胿仔,
akak,紅龜仔粿,
akau,阿猴,
akg,後個月,
akhia,愛睏藥仔,
akhkh,後堀溪,
akhoo,沃雨,
akhtsh,愛睏草,
akhue,沃花,
akim,阿妗,
akk,紅記記,
akk,紅絳絳,
akk,紅龜粿,
akk,掩咯家,
akk,掩咯雞,
akkh,庵古坑,
akn,頷頸領,
akoh,猶閣,
akohteh,猶閣咧,
akong,阿公,
akongtiam,阿公店,
akongtiamkhe,阿公店溪,
akoo,阿姑,
akooa,阿姑仔,
akpui,沃肥,
akt,尪架桌,
akt,阿公店,
akt,猶閣咧,
aktam,沃澹,
aktkh,阿公店溪,
akts,暗光鳥,
aktsak,齷齪,
aktsh,漚鹹菜,
aktshiu,握手,
aktshtsh,紅膏赤蠘,
aktsui,沃水,
aku,阿舅,
akun,亞軍,
ala,愛人仔,
ala,紅橐仔,
ale,隘寮下,
alh,后里鄉,
alh,阿蓮鄉,
alh,紅鰱魚,
alianhiong,阿蓮鄉,
aliansia,阿嗹社,
alikang,阿里港,
alikuan,阿里關,
alilong,阿里壟,
aliputtat,阿里不達,
alisan,阿里山,
alisanhiong,阿里山鄉,
alisansuann,阿里山線,
alk,阿里港,
alk,阿里關,
alkh,安南區,
alkh,安樂區,
alkh,後龍溪,
alkh,隘寮溪,
all,阿里壟,
alpa,紅蘿蔔仔,
alpt,阿里不達,
als,阿里山,
als,阿嗹社,
alsh,阿里山鄉,
alss,阿里山線,
alt,後龍鎮,
alts,紅露酒,
am,阿姆,
ama,阿媽,
ama,泔糜仔,
ama,𧌄梅仔,
amakun,頷仔頸,
amam,暗暗,
amania,頷仔領,
ambea,泔糜仔,
ambinbong,暗眠摸,
ambokbok,暗漠漠,
ambue,𧌄梅,
ambuea,𧌄梅仔,
amhing,暗行,
amho,暗號,
amhong,暗訪,
amhoo,掩護,
amk,紅毛港,
amk,猶毋過,
amkau,涵溝,
amkham,掩崁,
amkham,暗崁,
amkhang,涵空,
amkin,頷巾,
amkinga,暗間仔,
amkng,醃缸,
amkng,盦缸,
amko,猶毋過,
amkokke,掩咯家,
amkokke,掩咯雞,
amkokkue,掩咯雞,
amkongtsiau,暗光鳥,
amkookhenn,庵古坑,
amkuaia,𧌄胿仔,
amkue,醃瓜,
amkuea,醃瓜仔,
amkui,頷胿,
amkun,頷巾,
amkun,頷頸,
amkuna,頷頸仔,
amkunnia,頷頸領,
amloo,暗路,
amme,暗暝,
ammi,暗暝,
ammuaia,泔糜仔,
ammuea,泔糜仔,
ammuia,𧌄梅仔,
amnia,頷領,
amoha,暗學仔,
ampan,暗班,
ampang,暗房,
ampng,暗飯,
ampoo,暗步,
ampootse,𧌄蜅蠐,
ampootsea,𧌄蜅蠐仔,
ampootshe,𧌄蜅蠐,
amsam,暗毿,
amsampenn,暗毿病,
amsampinn,暗毿病,
amsat,暗殺,
amse,頷垂,
amsea,頷垂仔,
amsi,暗示,
amsi,暗時,
amsia,暗時仔,
amsik,暗色,
amsoso,暗趖趖,
amtam,暗淡,
amtea,暗袋仔,
amth,紅毛塗,
amthaua,暗頭仔,
amtiong,暗中,
amtng,暗頓,
amtsam,腌臢,
amtsh,紅毛田,
amtshi,頷腮,
amtsu,暗自,
amuia,𧌄蝛仔,
ana,紅娘仔,
ana,俺娘仔,
anbeh,按脈,
anbin,安眠,
anbu,俺母,
anga,尪仔,
anga,甕仔,
angabin,尪仔面,
angaboo,翁仔某,
angamih,尪仔物,
angamngh,尪仔物,
angaphiau,尪仔標,
angathau,尪仔頭,
angatsheh,尪仔冊,
angatsir,尪仔書,
angatsu,尪仔書,
angbahli,紅肉李,
angbak,紅目,
angbakkinn,紅目墘,
angbaklian,紅目鰱,
angbetang,紅尾冬,
angbin,紅面,
angbinah,紅面鴨,
angboo,翁某,
angbuetang,紅尾冬,
angbunthoo,紅毛塗,
angenna,紅嬰仔,
angge,紅牙,
angguasuann,紅外線,
anghiatshua,紅瓦厝仔,
anghingtshai,紅莧菜,
anghiohkhe,紅葉溪,
anghiohsuann,紅葉山,
angi,尪姨,
angi,紅姨,
angiah,按額,
anginn,紅姨,
anginn,紅嬰,
anginna,紅嬰仔,
angiohtsui,紅藥水,
angkam,紅魽,
angketoh,尪架桌,
angkhi,紅柿,
angkiki,紅記記,
angkirn,偝巾,
angkonga,尪公仔,
angkongkong,紅絳絳,
angkotshiahtshih,紅膏赤蠘,
angku,紅龜,
angkuake,紅龜仔粿,
angkue,紅瓜,
angkuke,紅龜粿,
angkuker,紅龜粿,
angkukue,紅龜粿,
angli,紅利,
anglianhi,紅鰱魚,
anglianhu,紅鰱魚,
angloka,紅橐仔,
anglokpoka,紅蘿蔔仔,
anglootsiu,紅露酒,
angmngkang,紅毛港,
angmngthoo,紅毛塗,
angmoothoo,紅毛塗,
angmootshan,紅毛田,
angniua,紅娘仔,
angpai,紅牌,
angpau,紅包,
angphinn,齆鼻,
angphinnsiann,齆鼻聲,
angsai,翁婿,
angsiann,齆聲,
angsik,紅色,
angsio,紅燒,
angsipgihue,紅十字會,
angsipjihe,紅十字會,
angsipjihue,紅十字會,
angsiplihe,紅十字會,
angsiplihue,紅十字會,
angtau,紅豆,
angtaua,紅豆仔,
angte,紅茶,
angthausu,紅頭嶼,
angthausuann,紅頭山,
angthiapa,紅帖仔,
angthoo,紅塗,
angting,紅燈,
angtoo,甕肚,
angtsau,紅糟,
angtshai,紅菜,
angtshai,紅綵,
angtshaisik,紅菜色,
angtshaithau,紅菜頭,
angtshangathau,紅蔥仔頭,
angtshangthau,紅蔥頭,
angtshiuna,紅樹林,
angtsim,紅蟳,
angtsiu,紅酒,
angtso,紅棗,
anha,按下,
anhu,安撫,
anhun,安份,
ania,阿娘,
aniong,安養,
aniunn,安養,
anjia,俺二仔,
anjian,安然,
anka,安家,
anke,安家,
ankhong,安康,
ankiann,案件,
ankong,俺公,
anlamkhu,安南區,
anle,案例,
anling,安寧,
anling,安靈,
anlokkhu,安樂區,
anma,俺媽,
anmeh,按脈,
anna,按怎,
anne,按呢,
anni,按呢,
anniaa,俺娘仔,
annio,向腰,
annpiann,餡餅,
annua,按怎,
anpa,俺爸,
anpai,安排,
anpe,俺爸,
anphiann,亞鉛鉼,
anpingkhu,安平區,
anpingtin,安平鎮,
ansi,按時,
ansiang,安詳,
ansiau,限數,
ansim,安心,
ansin,安身,
ansiong,安詳,
ansng,按算,
ansuann,亞鉛線,
antah,安搭,
antann,安打,
ante,案底,
anthai,安胎,
antheh,安宅,
anthong,安通,
anthoo,安土,
anti,安置,
antia,俺爹,
anting,安定,
antinghiong,安定鄉,
antse,俺姊,
antshah,安插,
antshng,安床,
antsiau,按照,
antsing,安靜,
antsing,案情,
antsir,番薯,
antsng,安裝,
antsong,安葬,
antsong,安裝,
antsoo,俺祖,
antsuan,安全,
antsuankam,安全感,
antsuann,按怎,
antsuanniunn,按怎樣,
antue,案底,
antun,安頓,
anui,安慰,
anun,安穩,
aoa,暗學仔,
apa,阿爸,
apa,盒仔,
apa,鴨婆仔,
apah,阿爸,
apapiann,盒仔餅,
apeh,阿伯,
aph,亞鉛鉼,
aph,後壁鄉,
aphian,鴉片,
aphiansian,鴉片仙,
aphs,鴉片仙,
aphs,齆鼻聲,
apkb,哀爸叫母,
apkh,安平區,
apl,後壁寮,
aplik,壓力,
apo,阿婆,
appik,壓迫,
apsok,壓縮,
apt,安平鎮,
apt,阿不倒,
apta,阿不倒仔,
apts,𧌄蜅蠐,
aptsa,𧌄蜅蠐仔,
aptse,壓制,
aptsh,後壁厝,
aptsh,𧌄蜅蠐,
aputtau,阿不倒,
aputto,阿不倒,
aputtoa,阿不倒仔,
aputtorha,阿不倒仔,
as,亞鉛線,
asa,暗時仔,
asa,頷垂仔,
asang,阿桑,
asapuhluh,阿沙不魯,
asb,漚屎面,
ase,阿西,
asgh,紅十字會,
ash,嘔心血,
asi,也是,
asi,猶是,
asia,阿舍,
asiakiann,阿舍囝,
asjh,紅十字會,
ask,阿舍囝,
asl,後世人,
aslh,紅十字會,
aso,阿嫂,
asor,阿嫂,
asp,後山埤,
asp,暗毿病,
aspl,阿沙不魯,
ass,暗趖趖,
ata,阿啄仔,
ata,紅豆仔,
ata,暗袋仔,
ata,楬仔,
atabu,阿罩霧,
atahe,阿貼的,
atam,遏泔,
atangpenninn,亞東醫院,
atangpinninn,亞東醫院,
atb,阿罩霧,
ate,阿貼的,
ath,安定鄉,
atha,紅帖仔,
atha,暗頭仔,
athai,亞太,
aths,紅頭山,
aths,紅頭嶼,
athtsh,後頭厝,
atia,阿爹,
atiunn,阿丈,
atoka,阿啄仔,
atongpenninn,亞東醫院,
atongpinninn,亞東醫院,
atpi,亞東醫院,
atsa,阿叔仔,
atsa,腌臢,
atsam,腌臢,
atse,阿姊,
atshath,紅蔥仔頭,
atshn,紅樹林,
atshp,後柴耙,
atshp,遏手把,
atshs,後出世,
atshs,紅菜色,
atshth,紅菜頭,
atshth,紅蔥頭,
atsi,阿姊,
atsi,按怎樣,
atsiang,阿將,
atsik,阿叔,
atsika,阿叔仔,
atsim,阿嬸,
atsiu,亞洲,
atsk,安全感,
atsoo,阿祖,
att,懊嘟嘟,
attshiu,握手,
attshiupa,遏手把,
aua,後仔,
aua,甌仔,
aua,𧌄蝛仔,
auban,拗蠻,
aube,後尾,
aubea,後尾仔,
aubemng,後尾門,
aubi,歐美,
aubin,後面,
aubing,歐盟,
aubo,後母,
aubobin,後母面,
auboo,後某,
aubu,後母,
aububin,後母面,
aubue,後尾,
aubuea,後尾仔,
aubuemng,後尾門,
augehlit,後月日,
augit,後日,
auguehjit,後月日,
auhe,漚貨,
auhiantai,後現代,
auhong,嘔紅,
auhue,漚貨,
auhueh,嘔血,
auhuih,嘔血,
auiah,後驛,
auiong,歐陽,
auj,漚鬱熱,
aujit,後日,
aujita,後日仔,
aukha,後跤,
aukheh,漚客,
aukhin,後勤,
aukhirn,後勤,
aukhok,後擴,
aukhun,後勤,
aukhutkhe,後堀溪,
auki,後期,
aukiamtshai,漚鹹菜,
aukogeh,後個月,
aukogueh,後個月,
aul,漚鬱熱,
aulai,後來,
aulang,凹浪,
aulang,後龍,
aulang,後壟,
aulangkhe,後龍溪,
aulangtin,後龍鎮,
auli,后里,
aulihiong,后里鄉,
aulit,後日,
auliu,後鈕,
aun,亞運,
aunau,懊惱,
aunge,後勁,
auni,後年,
aupai,後擺,
aupe,後爸,
aupiah,後壁,
aupiahhiong,後壁鄉,
aupiahliau,後壁寮,
aupiahtshu,後壁厝,
aupoo,拗裒,
aupoo,後步,
aupue,後輩,
ausaibin,漚屎面,
ausik,漚色,
ausik,歐式,
ausilang,後世人,
ausimhiat,嘔心血,
ausiok,後續,
ausiu,後岫,
ausuann,後山,
ausuannpi,後山埤,
autai,後代,
autai,後臺,
autau,後斗,
authau,後頭,
authautshu,後頭厝,
autinn,喉滇,
autiunn,後場,
autsan,後齻,
autse,後坐,
autshape,後柴耙,
autshiu,後手,
autshua,後娶,
autshutsi,後出世,
autsia,後者,
autsik,後叔,
autsing,喉鐘,
autsiu,歐洲,
autsng,後庄,
autso,後座,
autsua,拗紙,
aututu,懊嘟嘟,
auuan,拗彎,
auue,後衛,
auun,喉韻,
auut,拗鬱,
auutjuah,漚鬱熱,
auutluah,漚鬱熱,
b,斬稻仔尾,
baa,尾暗仔,
baa,明仔暗,
baa,欲暗仔,
baa,欲暗矣,
baa,媌仔,
baa,猫仔,
babtsh,面漚面臭 ,
babuakng,貓霧仔光,
babui,峇微,
babukng,貓霧光,
bah,米仔麩,
bah,蠓仔香,
bah,魩仔魚,
bahhia,肉魚仔,
bahhio,鴟鴞,
bahhioh,鴟鴞,
bahhu,肉拊,
bahhua,肉魚仔,
bahioh,鴟鴞,
bahkam,肉感,
bahkea,肉雞仔,
bahkenn,肉羹,
bahkhaa,肉跤仔,
bahkian,肉卷,
bahkiana,肉卷仔,
bahkinn,肉羹,
bahkng,肉卷,
bahkuann,肉乾,
bahkuea,肉雞仔,
bahkuinn,肉卷,
bahkut,肉骨,
bahliu,肉瘤,
bahlui,肉類,
bahpau,肉包,
bahphe,肉皮,
bahphin,肉品,
bahphue,肉皮,
bahpiann,肉餅,
bahpiannbin,肉餅面,
bahpoo,肉脯,
bahsi,肉絲,
bahsik,肉色,
bahsinna,肉豉仔,
bahsoo,肉酥,
bahtau,肉豆,
bahthe,肉體,
bahthue,肉體,
bahtiam,肉砧,
bahtsang,肉粽,
bahtsangkak,肉粽角,
bahtsangtseh,肉粽節,
bahtsangtsueh,肉粽節,
bahtsit,肉質,
bahtsita,肉鯽仔,
bahuan,肉圓,
bahuan,麻煩,
bahuana,肉丸仔,
bahuang,痲瘋,
bai,覕頷喓,
baibeh,𥌚脈,
baibi,䆀味,
baihok,埋伏,
baikau,䆀猴,
baikhe,眉溪,
baimeh,𥌚脈,
baioh,麻藥,
baitsai,䆀才,
baitsainn,䆀指,
baitshiu,䆀手,
baitshiuakuai,䆀手仔拐,
baiuan,埋怨,
baj,明仔日,
bajitik,貓兒竹,
bak,母仔囝,
bak,尾仔囝,
bak,屘仔囝,
bak,袂要緊,
bak,麥仔膏,
bak,無要緊,
bakang,貓公,
bakbai,目眉,
bakerea,覓雞仔,
bakham,目蚶,
bakhinn,墨硯,
bakiu,目油,
bakkaliu,目加溜,
bakkang,木工,
bakkangtshiutshang,目降鬚聳,
bakkautsiam,目狗尖,
bakkautsiam,目狗針,
bakkhang,目空,
bakkhoo,目箍,
bakkia,木屐,
bakkiah,木屐,
bakkiahliau,木屐寮,
bakkiann,目鏡,
bakkiannjin,目鏡仁,
bakkiannlin,目鏡仁,
bakkianntsua,目鏡蛇,
bakkng,目光,
bakkuinn,目光,
bakliau,木料,
bakniha,目𥍉仔,
baknihue,茉莉花,
bakpuann,墨盤,
baksa,木柵,
baksai,木師,
baksai,目屎,
baksaiko,目屎膏,
baksaikor,目屎膏,
baksaitsiam,目屎尖,
baksat,木蝨,
baksik,目色,
baktau,墨斗,
bakte,目地,
bakthau,目頭,
baktoo,腹肚,
baktoobe,腹肚尾,
baktoobue,腹肚尾,
baktooiau,腹肚枵,
baktsat,墨賊,
baktsata,墨賊仔,
baktshionn,木匠,
baktshiu,沐手,
baktshiunn,木匠,
baktshiunnsai,木匠師,
baktsiahmng,目睫毛,
baktsiam,目尖,
baktsiam,目針,
baktsiap,墨汁,
baktsiapmng,目睫毛,
baktsing,目前,
baktsiu,目睭,
baktsiubongbu,目睭雺霧,
baktsiuhue,目睭花,
baktsiujin,目睭仁,
baktsiulin,目睭仁,
baktsiulo,目睭濁,
baktsiumng,目睭毛,
baktsiuphe,目睭皮,
baktsiuphue,目睭皮,
baktsui,沐水,
baktsui,墨水,
baktue,目地,
bal,明仔日,
bali,貓里,
balitik,貓兒竹,
balitsikkhau,麻里折口,
balokhe,貓羅溪,
bana,屘仔,
banakann,屘仔囝,
banakiann,屘仔囝,
banban,萬萬,
banban,慢慢,
banban,蠻蠻,
banbana,慢慢仔,
banbanasi,慢慢仔是,
banbanhiong,萬巒鄉,
banbeh,挽脈,
banbin,挽面,
banbuitsit,萬無一失,
banbut,萬物,
banga,網仔,
banga,蠓仔,
bangahiunn,蠓仔香,
bangapoo,墓仔埔,
bangatsui,蠓仔水,
bangbang,茫茫,
banghik,網域,
bangiah,網頁,
bangik,網域,
bangiu,網友,
bangkah,萬華,
bangkah,艋舺,
bangkaiatshang,望蓋仔蔥,
bangking,夢境,
bangkinn,夢見,
bangkiu,網球,
bangkoo,望古,
bangloo,網路,
bangsut,蚊蟀,
bangsuta,蠓捽仔,
bangta,蠓罩,
bangtau,蠓罩,
bangthang,蠓蟲,
bangting,夢中,
bangtiong,夢中,
bangtiunn,蠓帳,
bangtsam,網站,
bangtse,網際,
bangtsebangloo,網際網路,
bangtshau,芒草,
bangtsi,網址,
banguann,網鞍,
banguannhiong,望安鄉,
banhang,萬項,
banhe,挽回,
banhe,慢火,
banhing,萬幸,
banhokiong,萬和宮,
banhongpenninn,萬芳醫院,
banhongpinninn,萬芳醫院,
banhongsiakhu,萬芳社區,
banhua,萬華,
banhuakhu,萬華區,
banhue,挽回,
banhue,挽花,
banhue,慢火,
banhun,慢分,
baning,萬榮,
baninghiong,萬榮鄉,
banit,萬一,
baniu,漫遊,
bankiann,屘囝,
bankiann,慢行,
bankin,挽筋,
bankiu,挽救,
banlianpit,萬年筆,
banlihiong,萬里鄉,
banlikhe,萬里溪,
banlikio,萬里橋,
banling,萬能,
banliong,萬隆,
banluanhiong,萬巒鄉,
banmeh,挽脈,
banphe,蠻皮,
banphesian,蠻皮癬,
banphue,蠻皮,
banphuesian,蠻皮癬,
banpoo,漫步,
banpuan,萬般,
banpuann,萬般,
banputtiki,萬不得已,
banse,萬世,
bansing,慢性,
bansiria,萬事爺,
bansu,萬事,
bantai,萬代,
bantam,漫談,
bantang,慢冬,
bantanhiong,萬丹鄉,
bante,挽茶,
banthau,饅頭,
bantho,饅頭,
banthor,饅頭,
bantshau,挽草,
bantshia,慢車,
bantshiann,慢且,
bantshiannsi,慢且是,
bantshuikhi,挽喙齒,
bantsuan,萬全,
bap,墓仔埔,
bapi,麻痺,
bas,袂按算,
bas,篾仔扇,
basia,麻射,
basu,巴士,
bat,麥仔茶,
batbat,密密,
bathauloo,覓頭路,
bathe,捌貨,
bathue,捌貨,
batji,捌字,
batli,捌字,
bats,明仔載,
bats,麥仔酒,
bats,蠓仔水,
batshiok,麻雀,
batshiokjia,麻雀子仔,
batshioklia,麻雀子仔,
batsiunn,捌想,
batskh,明仔早起,
batsui,麻醉,
battaitsi,捌代誌,
battoo,腹肚,
battsat,密實,
battsiuhtsiuh,密喌喌,
bauhkang,貿工,
bauhthau,貿頭,
baukang,貿工,
baulokhe,貓羅溪,
baumi,㴘麵,
baunasio,拉圇仔燒,
bausiah,卯死矣,
bauthau,貿頭,
bb,𥌚脈,
bba,面模仔,
bba,微微仔,
bba,慢慢仔,
bbak,貓霧仔光,
bbas,慢慢仔是,
bbatsh,文文仔笑,
bbb,文武廟,
bbbk,無某無猴,
bbh,無尾巷,
bbh,無尾熊,
bbh,萬巒鄉,
bbis,萬無一失,
bbj,未亡人,
bbk,麥芽膏,
bbk,貓霧光,
bbkb,莫名其妙,
bbkm,莫名其妙,
bbl,未亡人,
bbl,摸無路,
